name,DeviceProfile,new_reading,last_reading,country,latitude,longitude,battery,leakage,RSSI,pulseCounter,temperature,token,sensorType,sensorSize,valvePosition
WM-MDE-LCA2912,Water Meter,0.001,0.005,Colombia,6.031109,-75.432689,99.99,FALSE,-50,0.001,19.7,V829HN399>T$D$J298,End User,1/2 inch,open
WM-MDE-LCA2913,Water Meter,0.001,0.005,Colombia,6.031287,-75.432511,99.99,FALSE,-50,0.001,19.7,F269SY209>V$D$P638,End User,1/2 inch,open
WM-MDE-LCA2914,Water Meter,0.001,0.005,Colombia,6.031465,-75.432333,99.99,FALSE,-50,0.001,19.7,I652YS234>C$D$P229,End User,1/2 inch,open
WM-MDE-LCA2915,Water Meter,0.001,0.005,Colombia,6.031643,-75.432155,99.99,FALSE,-50,0.001,19.7,G166JY196>T$D$K168,End User,1/2 inch,open
WM-MDE-LCA2916,Water Meter,0.001,0.005,Colombia,6.031821,-75.431977,99.99,FALSE,-50,0.001,19.7,H593IF730>U$D$B154,End User,1/2 inch,open
WM-MDE-LCA2917,Water Meter,0.001,0.005,Colombia,6.031999,-75.431799,99.99,FALSE,-50,0.001,19.7,X723RI971>U$D$O139,End User,1/2 inch,open
WM-MDE-LCA2918,Water Meter,0.001,0.005,Colombia,6.032177,-75.431621,99.99,FALSE,-50,0.001,19.7,O690BC682>P$D$K142,End User,1/2 inch,open
WM-MDE-LCA2919,Water Meter,0.001,0.005,Colombia,6.032355,-75.431443,99.99,FALSE,-50,0.001,19.7,U930AU999>X$D$D251,End User,1/2 inch,open
WM-MDE-LCA2920,Water Meter,0.001,0.005,Colombia,6.032533,-75.431265,99.99,FALSE,-50,0.001,19.7,W193BQ619>A$D$U524,End User,1/2 inch,open
WM-MDE-LCA2921,Water Meter,0.001,0.005,Colombia,6.032711,-75.431087,99.99,FALSE,-50,0.001,19.7,E173IM426>G$D$G679,End User,1/2 inch,open
WM-MDE-LCA2922,Water Meter,0.001,0.005,Colombia,6.032889,-75.430909,99.99,FALSE,-50,0.001,19.7,L614OR899>K$D$R675,End User,1/2 inch,open
WM-MDE-LCA2923,Water Meter,0.001,0.005,Colombia,6.033067,-75.430731,99.99,FALSE,-50,0.001,19.7,X100QV422>O$D$N602,End User,1/2 inch,open
WM-MDE-LCA2924,Water Meter,0.001,0.005,Colombia,6.033245,-75.430553,99.99,FALSE,-50,0.001,19.7,S589KM718>O$D$K251,End User,1/2 inch,open
WM-MDE-LCA2925,Water Meter,0.001,0.005,Colombia,6.033423,-75.430375,99.99,FALSE,-50,0.001,19.7,X129CJ526>C$D$G318,End User,1/2 inch,open
WM-MDE-LCA2926,Water Meter,0.001,0.005,Colombia,6.033601,-75.430197,99.99,FALSE,-50,0.001,19.7,W637WT182>B$D$D383,End User,1/2 inch,open
WM-MDE-LCA2927,Water Meter,0.001,0.005,Colombia,6.033779,-75.430019,99.99,FALSE,-50,0.001,19.7,B408WX537>Q$D$O803,End User,1/2 inch,open
WM-MDE-LCA2928,Water Meter,0.001,0.005,Colombia,6.033957,-75.429841,99.99,FALSE,-50,0.001,19.7,K359RF458>Y$D$H808,End User,1/2 inch,open
WM-MDE-LCA2929,Water Meter,0.001,0.005,Colombia,6.034135,-75.429663,99.99,FALSE,-50,0.001,19.7,D503JB656>C$D$D276,End User,1/2 inch,open
WM-MDE-LCA2930,Water Meter,0.001,0.005,Colombia,6.034313,-75.429485,99.99,FALSE,-50,0.001,19.7,T334UI682>T$D$B219,End User,1/2 inch,open
WM-MDE-LCA2931,Water Meter,0.001,0.005,Colombia,6.034491,-75.429307,99.99,FALSE,-50,0.001,19.7,Y885JO599>R$D$J438,End User,1/2 inch,open
WM-MDE-LCA2932,Water Meter,0.001,0.005,Colombia,6.034669,-75.429129,99.99,FALSE,-50,0.001,19.7,W654QM708>E$D$A665,End User,1/2 inch,open
WM-MDE-LCA2933,Water Meter,0.001,0.005,Colombia,6.034847,-75.428951,99.99,FALSE,-50,0.001,19.7,Q560UX312>F$D$F870,End User,1/2 inch,open
WM-MDE-LCA2934,Water Meter,0.001,0.005,Colombia,6.035025,-75.428773,99.99,FALSE,-50,0.001,19.7,S671UC565>K$D$C127,End User,1/2 inch,open
WM-MDE-LCA2935,Water Meter,0.001,0.005,Colombia,6.035203,-75.428595,99.99,FALSE,-50,0.001,19.7,V836YQ927>A$D$G747,End User,1/2 inch,open
WM-MDE-LCA2936,Water Meter,0.001,0.005,Colombia,6.035381,-75.428417,99.99,FALSE,-50,0.001,19.7,P826XY453>E$D$S300,End User,1/2 inch,open
WM-MDE-LCA2937,Water Meter,0.001,0.005,Colombia,6.035559,-75.428239,99.99,FALSE,-50,0.001,19.7,C219CD291>S$D$X994,End User,1/2 inch,open
WM-MDE-LCA2938,Water Meter,0.001,0.005,Colombia,6.035737,-75.428061,99.99,FALSE,-50,0.001,19.7,N687WK554>R$D$L378,End User,1/2 inch,open
WM-MDE-LCA2939,Water Meter,0.001,0.005,Colombia,6.035915,-75.427883,99.99,FALSE,-50,0.001,19.7,Y289GR102>W$D$I533,End User,1/2 inch,open
WM-MDE-LCA2940,Water Meter,0.001,0.005,Colombia,6.036093,-75.427705,99.99,FALSE,-50,0.001,19.7,D428LD756>O$D$Y511,End User,1/2 inch,open
WM-MDE-LCA2941,Water Meter,0.001,0.005,Colombia,6.036282,-75.427516,99.99,FALSE,-50,0.001,19.7,OIXP$LKBD@EQOI5,End User,1/2 inch,open
WM-MDE-LCA2942,Water Meter,0.001,0.005,Colombia,6.036471,-75.427327,100.99,FALSE,-50,0.001,19.7,RODY$ZVLY@LMEJ1,End User,1/2 inch,open
WM-MDE-LCA2943,Water Meter,0.001,0.005,Colombia,6.03666,-75.427138,101.99,FALSE,-50,0.001,19.7,MPFF$VFOP@UMKN9,End User,1/2 inch,open
WM-MDE-LCA2944,Water Meter,0.001,0.005,Colombia,6.036849,-75.426949,102.99,FALSE,-50,0.001,19.7,REYG$RGSZ@TZXG9,End User,1/2 inch,open
WM-MDE-LCA2945,Water Meter,0.001,0.005,Colombia,6.037038,-75.42676,103.99,FALSE,-50,0.001,19.7,MXQD$KPYS@VGCQ7,End User,1/2 inch,open
WM-MDE-LCA2946,Water Meter,0.001,0.005,Colombia,6.037227,-75.426571,104.99,FALSE,-50,0.001,19.7,AJOD$BBAJ@WWJX7,End User,1/2 inch,open
WM-MDE-LCA2947,Water Meter,0.001,0.005,Colombia,6.037416,-75.426382,105.99,FALSE,-50,0.001,19.7,WVYR$UGTE@ASPQ5,End User,1/2 inch,open
WM-MDE-LCA2948,Water Meter,0.001,0.005,Colombia,6.037605,-75.426193,106.99,FALSE,-50,0.001,19.7,ZKYL$BZHE@DCIB2,End User,1/2 inch,open
WM-MDE-LCA2949,Water Meter,0.001,0.005,Colombia,6.037794,-75.426004,107.99,FALSE,-50,0.001,19.7,FNAC$ZNSG@NMTH9,End User,1/2 inch,open
WM-MDE-LCA2950,Water Meter,0.001,0.005,Colombia,6.037983,-75.425815,108.99,FALSE,-50,0.001,19.7,SMVA$TDXN@VKUG2,End User,1/2 inch,open
WM-MDE-LCA2951,Water Meter,0.001,0.005,Colombia,6.038172,-75.425626,109.99,FALSE,-50,0.001,19.7,KYQI$ZGYZ@BGXP3,End User,1/2 inch,open
WM-MDE-LCA2952,Water Meter,0.001,0.005,Colombia,6.038361,-75.425437,110.99,FALSE,-50,0.001,19.7,ZYGV$RUPM@TBUF6,End User,1/2 inch,open
WM-MDE-LCA2953,Water Meter,0.001,0.005,Colombia,6.03855,-75.425248,111.99,FALSE,-50,0.001,19.7,VNKP$YWDA@UKWL6,End User,1/2 inch,open
WM-MDE-LCA2954,Water Meter,0.001,0.005,Colombia,6.038739,-75.425059,112.99,FALSE,-50,0.001,19.7,RLPE$XQQO@PZFP9,End User,1/2 inch,open
WM-MDE-LCA2955,Water Meter,0.001,0.005,Colombia,6.038928,-75.42487,113.99,FALSE,-50,0.001,19.7,ASJG$FYWK@QEXY2,End User,1/2 inch,open
WM-MDE-LCA2956,Water Meter,0.001,0.005,Colombia,6.039117,-75.424681,114.99,FALSE,-50,0.001,19.7,TMYW$VOPH@YVAM4,End User,1/2 inch,open
WM-MDE-LCA2957,Water Meter,0.001,0.005,Colombia,6.039306,-75.424492,115.99,FALSE,-50,0.001,19.7,HTRN$YOQO@ZTBP5,End User,1/2 inch,open
WM-MDE-LCA2958,Water Meter,0.001,0.005,Colombia,6.039495,-75.424303,116.99,FALSE,-50,0.001,19.7,EOQE$FDBR@NETK9,End User,1/2 inch,open
WM-MDE-LCA2959,Water Meter,0.001,0.005,Colombia,6.039684,-75.424114,117.99,FALSE,-50,0.001,19.7,MRVK$QYES@TUJZ3,End User,1/2 inch,open
WM-MDE-LCA2960,Water Meter,0.001,0.005,Colombia,6.039873,-75.423925,118.99,FALSE,-50,0.001,19.7,PQFT$WBGC@XTYO4,End User,1/2 inch,open
WM-MDE-LCA2961,Water Meter,0.001,0.005,Colombia,6.040062,-75.423736,119.99,FALSE,-50,0.001,19.7,FAXZ$LCLS@KBUT8,End User,1/2 inch,open
WM-MDE-LCA2962,Water Meter,0.001,0.005,Colombia,6.040251,-75.423547,120.99,FALSE,-50,0.001,19.7,CHKB$CGYE@TOWK1,End User,1/2 inch,open
WM-MDE-LCA2963,Water Meter,0.001,0.005,Colombia,6.04044,-75.423358,121.99,FALSE,-50,0.001,19.7,QYKK$ZBMW@OMTL6,End User,1/2 inch,open
WM-MDE-LCA2964,Water Meter,0.001,0.005,Colombia,6.040629,-75.423169,122.99,FALSE,-50,0.001,19.7,ZIWW$LNRU@JCOD0,End User,1/2 inch,open
WM-MDE-LCA2965,Water Meter,0.001,0.005,Colombia,6.040818,-75.42298,123.99,FALSE,-50,0.001,19.7,EFPX$OGRJ@ZJBJ5,End User,1/2 inch,open
WM-MDE-LCA2966,Water Meter,0.001,0.005,Colombia,6.041007,-75.422791,124.99,FALSE,-50,0.001,19.7,DNEF$QHSN@LYEU0,End User,1/2 inch,open
WM-MDE-LCA2967,Water Meter,0.001,0.005,Colombia,6.041196,-75.422602,125.99,FALSE,-50,0.001,19.7,DLIR$VKAQ@ONDQ0,End User,1/2 inch,open
WM-MDE-LCA2968,Water Meter,0.001,0.005,Colombia,6.041385,-75.422413,126.99,FALSE,-50,0.001,19.7,LMUL$LXKR@XVWK2,End User,1/2 inch,open
WM-MDE-LCA2969,Water Meter,0.001,0.005,Colombia,6.041574,-75.422224,127.99,FALSE,-50,0.001,19.7,LEAA$EODF@VBZG5,End User,1/2 inch,open
WM-MDE-LCA2970,Water Meter,0.001,0.005,Colombia,6.041763,-75.422035,128.99,FALSE,-50,0.001,19.7,YAYV$AJNR@TABL8,End User,1/2 inch,open
WM-MDE-LCA2971,Water Meter,0.001,0.005,Colombia,6.041952,-75.421846,129.99,FALSE,-50,0.001,19.7,EJXH$HXFS@PKUC3,End User,1/2 inch,open
WM-MDE-LCA2972,Water Meter,0.001,0.005,Colombia,6.042141,-75.421657,130.99,FALSE,-50,0.001,19.7,NRUV$DRRA@LXPT7,End User,1/2 inch,open
WM-MDE-LCA2973,Water Meter,0.001,0.005,Colombia,6.04233,-75.421468,131.99,FALSE,-50,0.001,19.7,HZAQ$ZBVB@WAWH6,End User,1/2 inch,open
WM-MDE-LCA2974,Water Meter,0.001,0.005,Colombia,6.042519,-75.421279,132.99,FALSE,-50,0.001,19.7,ALZV$JQCO@IIQZ2,End User,1/2 inch,open
WM-MDE-LCA2975,Water Meter,0.001,0.005,Colombia,6.042708,-75.42109,133.99,FALSE,-50,0.001,19.7,RTHM$CCCB@PBBW9,End User,1/2 inch,open
WM-MDE-LCA2976,Water Meter,0.001,0.005,Colombia,6.042897,-75.420901,134.99,FALSE,-50,0.001,19.7,AINP$IVYF@NQPK5,End User,1/2 inch,open
WM-MDE-LCA2977,Water Meter,0.001,0.005,Colombia,6.043086,-75.420712,135.99,FALSE,-50,0.001,19.7,XEPJ$RORJ@ZHYX2,End User,1/2 inch,open
WM-MDE-LCA2978,Water Meter,0.001,0.005,Colombia,6.043275,-75.420523,136.99,FALSE,-50,0.001,19.7,KXJK$HZID@BOKB6,End User,1/2 inch,open
WM-MDE-LCA2979,Water Meter,0.001,0.005,Colombia,6.043464,-75.420334,137.99,FALSE,-50,0.001,19.7,UFOU$UCUM@KIUD7,End User,1/2 inch,open
WM-MDE-LCA2980,Water Meter,0.001,0.005,Colombia,6.043653,-75.420145,138.99,FALSE,-50,0.001,19.7,BHBS$YINB@HMNS6,End User,1/2 inch,open
WM-MDE-LCA2981,Water Meter,0.001,0.005,Colombia,6.043842,-75.419956,139.99,FALSE,-50,0.001,19.7,CHQQ$POXU@TVSY8,End User,1/2 inch,open
WM-MDE-LCA2982,Water Meter,0.001,0.005,Colombia,6.044031,-75.419767,140.99,FALSE,-50,0.001,19.7,MKYP$KWJN@DTHM5,End User,1/2 inch,open
WM-MDE-LCA2983,Water Meter,0.001,0.005,Colombia,6.04422,-75.419578,141.99,FALSE,-50,0.001,19.7,WONH$ATXJ@RDNB7,End User,1/2 inch,open
WM-MDE-LCA2984,Water Meter,0.001,0.005,Colombia,6.044409,-75.419389,142.99,FALSE,-50,0.001,19.7,PLKM$VTRJ@RCWP9,End User,1/2 inch,open
WM-MDE-LCA2985,Water Meter,0.001,0.005,Colombia,6.044598,-75.4192,143.99,FALSE,-50,0.001,19.7,KOGX$MDRI@FAHV8,End User,1/2 inch,open
WM-MDE-LCA2986,Water Meter,0.001,0.005,Colombia,6.044787,-75.419011,144.99,FALSE,-50,0.001,19.7,PDMB$HMAR@GNMZ9,End User,1/2 inch,open
WM-MDE-LCA2987,Water Meter,0.001,0.005,Colombia,6.044976,-75.418822,145.99,FALSE,-50,0.001,19.7,BVXF$GNWK@GUWG9,End User,1/2 inch,open
WM-MDE-LCA2988,Water Meter,0.001,0.005,Colombia,6.045165,-75.418633,146.99,FALSE,-50,0.001,19.7,STOV$UMTB@WRLR6,End User,1/2 inch,open
WM-MDE-LCA2989,Water Meter,0.001,0.005,Colombia,6.045354,-75.418444,147.99,FALSE,-50,0.001,19.7,AMNF$HTQJ@NVJP3,End User,1/2 inch,open
WM-MDE-LCA2990,Water Meter,0.001,0.005,Colombia,6.045543,-75.418255,148.99,FALSE,-50,0.001,19.7,EHFK$BKQZ@LXSU0,End User,1/2 inch,open
WM-MDE-LCA2991,Water Meter,0.001,0.005,Colombia,6.045732,-75.418066,149.99,FALSE,-50,0.001,19.7,ZHXK$KDJY@DVBN2,End User,1/2 inch,open
WM-MDE-LCA2992,Water Meter,0.001,0.005,Colombia,6.045921,-75.417877,150.99,FALSE,-50,0.001,19.7,DELZ$HGXX@FAUS3,End User,1/2 inch,open
WM-MDE-LCA2993,Water Meter,0.001,0.005,Colombia,6.04611,-75.417688,151.99,FALSE,-50,0.001,19.7,CZOX$FNNM@BKUM9,End User,1/2 inch,open
WM-MDE-LCA2994,Water Meter,0.001,0.005,Colombia,6.046299,-75.417499,152.99,FALSE,-50,0.001,19.7,CMDX$DKPZ@UVXK3,End User,1/2 inch,open
WM-MDE-LCA2995,Water Meter,0.001,0.005,Colombia,6.046488,-75.41731,153.99,FALSE,-50,0.001,19.7,QZBE$HVJN@ODKN1,End User,1/2 inch,open
WM-MDE-LCA2996,Water Meter,0.001,0.005,Colombia,6.046677,-75.417121,154.99,FALSE,-50,0.001,19.7,RQMW$RXJJ@CPGB3,End User,1/2 inch,open
WM-MDE-LCA2997,Water Meter,0.001,0.005,Colombia,6.046866,-75.416932,155.99,FALSE,-50,0.001,19.7,FXSB$XZMH@EUBI2,End User,1/2 inch,open
WM-MDE-LCA2998,Water Meter,0.001,0.005,Colombia,6.047055,-75.416743,156.99,FALSE,-50,0.001,19.7,NALY$JAAP@MIVB2,End User,1/2 inch,open
WM-MDE-LCA2999,Water Meter,0.001,0.005,Colombia,6.047244,-75.416554,157.99,FALSE,-50,0.001,19.7,MINV$MBLH@MUSB9,End User,1/2 inch,open
WM-MDE-LCA3000,Water Meter,0.001,0.005,Colombia,6.047433,-75.416365,158.99,FALSE,-50,0.001,19.7,DKEV$SOWT@OVFX9,End User,1/2 inch,open
WM-MDE-LCA3001,Water Meter,0.001,0.005,Colombia,6.047622,-75.416176,159.99,FALSE,-50,0.001,19.7,RZPL$DAFI@EMLC0,End User,1/2 inch,open
WM-MDE-LCA3002,Water Meter,0.001,0.005,Colombia,6.047811,-75.415987,160.99,FALSE,-50,0.001,19.7,TMXX$FYKP@AQAP5,End User,1/2 inch,open
WM-MDE-LCA3003,Water Meter,0.001,0.005,Colombia,6.048,-75.415798,161.99,FALSE,-50,0.001,19.7,URXT$VTAH@MLVZ1,End User,1/2 inch,open
WM-MDE-LCA3004,Water Meter,0.001,0.005,Colombia,6.048189,-75.415609,162.99,FALSE,-50,0.001,19.7,BQBL$LDUK@JVEV6,End User,1/2 inch,open
WM-MDE-LCA3005,Water Meter,0.001,0.005,Colombia,6.048378,-75.41542,163.99,FALSE,-50,0.001,19.7,JICB$OURD@QLBH2,End User,1/2 inch,open
WM-MDE-LCA3006,Water Meter,0.001,0.005,Colombia,6.048567,-75.415231,164.99,FALSE,-50,0.001,19.7,GROE$URER@TLNB7,End User,1/2 inch,open
WM-MDE-LCA3007,Water Meter,0.001,0.005,Colombia,6.048756,-75.415042,165.99,FALSE,-50,0.001,19.7,XSFS$NYLR@HNBX5,End User,1/2 inch,open
WM-MDE-LCA3008,Water Meter,0.001,0.005,Colombia,6.048945,-75.414853,166.99,FALSE,-50,0.001,19.7,MULT$JFQJ@ZRDH8,End User,1/2 inch,open
WM-MDE-LCA3009,Water Meter,0.001,0.005,Colombia,6.049134,-75.414664,167.99,FALSE,-50,0.001,19.7,XGOS$DQCL@YFST1,End User,1/2 inch,open
WM-MDE-LCA3010,Water Meter,0.001,0.005,Colombia,6.049323,-75.414475,168.99,FALSE,-50,0.001,19.7,MDBX$QXXK@TUAM1,End User,1/2 inch,open
WM-MDE-LCA3011,Water Meter,0.001,0.005,Colombia,6.049512,-75.414286,169.99,FALSE,-50,0.001,19.7,RHQY$XNQS@NMBH8,End User,1/2 inch,open
WM-MDE-LCA3012,Water Meter,0.001,0.005,Colombia,6.049701,-75.414097,170.99,FALSE,-50,0.001,19.7,EUTS$LKBD@FJQS0,End User,1/2 inch,open
WM-MDE-LCA3013,Water Meter,0.001,0.005,Colombia,6.04989,-75.413908,171.99,FALSE,-50,0.001,19.7,QDOU$GWNR@GLFD5,End User,1/2 inch,open
WM-MDE-LCA3014,Water Meter,0.001,0.005,Colombia,6.050079,-75.413719,172.99,FALSE,-50,0.001,19.7,FPRM$LDZL@WZCK4,End User,1/2 inch,open
WM-MDE-LCA3015,Water Meter,0.001,0.005,Colombia,6.050268,-75.41353,173.99,FALSE,-50,0.001,19.7,MCIY$IZKX@BGXV4,End User,1/2 inch,open
WM-MDE-LCA3016,Water Meter,0.001,0.005,Colombia,6.050457,-75.413341,174.99,FALSE,-50,0.001,19.7,AEOQ$HEXH@DQOL3,End User,1/2 inch,open
WM-MDE-LCA3017,Water Meter,0.001,0.005,Colombia,6.050646,-75.413152,175.99,FALSE,-50,0.001,19.7,KDGR$BDKH@PGOF6,End User,1/2 inch,open
WM-MDE-LCA3018,Water Meter,0.001,0.005,Colombia,6.050835,-75.412963,176.99,FALSE,-50,0.001,19.7,ROFR$HXZX@OYCZ0,End User,1/2 inch,open
WM-MDE-LCA3019,Water Meter,0.001,0.005,Colombia,6.051024,-75.412774,177.99,FALSE,-50,0.001,19.7,DBHI$ANHG@MJHM9,End User,1/2 inch,open
WM-MDE-LCA3020,Water Meter,0.001,0.005,Colombia,6.051213,-75.412585,178.99,FALSE,-50,0.001,19.7,YXMZ$NMRO@WEVY7,End User,1/2 inch,open
WM-MDE-LCA3021,Water Meter,0.001,0.005,Colombia,6.051402,-75.412396,179.99,FALSE,-50,0.001,19.7,VABI$WSDN@WBUT9,End User,1/2 inch,open
WM-MDE-LCA3022,Water Meter,0.001,0.005,Colombia,6.051591,-75.412207,180.99,FALSE,-50,0.001,19.7,PNUU$NUGG@JEZY5,End User,1/2 inch,open
WM-MDE-LCA3023,Water Meter,0.001,0.005,Colombia,6.05178,-75.412018,181.99,FALSE,-50,0.001,19.7,RNZM$TGSG@HHKN9,End User,1/2 inch,open
WM-MDE-LCA3024,Water Meter,0.001,0.005,Colombia,6.051969,-75.411829,182.99,FALSE,-50,0.001,19.7,ADIB$CQGS@PDQU6,End User,1/2 inch,open
WM-MDE-LCA3025,Water Meter,0.001,0.005,Colombia,6.052158,-75.41164,183.99,FALSE,-50,0.001,19.7,RXKI$AIZS@YNFX0,End User,1/2 inch,open
WM-MDE-LCA3026,Water Meter,0.001,0.005,Colombia,6.052347,-75.411451,184.99,FALSE,-50,0.001,19.7,NEZF$QRYL@DENL7,End User,1/2 inch,open
WM-MDE-LCA3027,Water Meter,0.001,0.005,Colombia,6.052536,-75.411262,185.99,FALSE,-50,0.001,19.7,ISKZ$UFCR@LKMT0,End User,1/2 inch,open
WM-MDE-LCA3028,Water Meter,0.001,0.005,Colombia,6.052725,-75.411073,186.99,FALSE,-50,0.001,19.7,VVLB$DAHC@STXO6,End User,1/2 inch,open
WM-MDE-LCA3029,Water Meter,0.001,0.005,Colombia,6.052914,-75.410884,187.99,FALSE,-50,0.001,19.7,NQGE$CROR@JHZH3,End User,1/2 inch,open
WM-MDE-LCA3030,Water Meter,0.001,0.005,Colombia,6.053103,-75.410695,188.99,FALSE,-50,0.001,19.7,PFKM$OEUN@BUKL3,End User,1/2 inch,open
WM-MDE-LCA3031,Water Meter,0.001,0.005,Colombia,6.053292,-75.410506,189.99,FALSE,-50,0.001,19.7,ATLM$ANAL@DECY4,End User,1/2 inch,open
WM-MDE-LCA3032,Water Meter,0.001,0.005,Colombia,6.053481,-75.410317,190.99,FALSE,-50,0.001,19.7,QNKJ$JNBF@BQPI0,End User,1/2 inch,open
WM-MDE-LCA3033,Water Meter,0.001,0.005,Colombia,6.05367,-75.410128,191.99,FALSE,-50,0.001,19.7,WAMZ$FJER@QRKK1,End User,1/2 inch,open
WM-MDE-LCA3034,Water Meter,0.001,0.005,Colombia,6.053859,-75.409939,192.99,FALSE,-50,0.001,19.7,WEKS$SLGP@EVHQ6,End User,1/2 inch,open
WM-MDE-LCA3035,Water Meter,0.001,0.005,Colombia,6.054048,-75.40975,193.99,FALSE,-50,0.001,19.7,SXUB$OMXL@AKCN9,End User,1/2 inch,open
WM-MDE-LCA3036,Water Meter,0.001,0.005,Colombia,6.054237,-75.409561,194.99,FALSE,-50,0.001,19.7,DQDI$MPHT@CMYP4,End User,1/2 inch,open
WM-MDE-LCA3037,Water Meter,0.001,0.005,Colombia,6.054426,-75.409372,195.99,FALSE,-50,0.001,19.7,IQQH$TZBE@ERTV2,End User,1/2 inch,open
WM-MDE-LCA3038,Water Meter,0.001,0.005,Colombia,6.054615,-75.409183,196.99,FALSE,-50,0.001,19.7,ACLU$NOXD@BKYX3,End User,1/2 inch,open
WM-MDE-LCA3039,Water Meter,0.001,0.005,Colombia,6.054804,-75.408994,197.99,FALSE,-50,0.001,19.7,TCOT$IPUV@OHNM4,End User,1/2 inch,open
WM-MDE-LCA3040,Water Meter,0.001,0.005,Colombia,6.054993,-75.408805,198.99,FALSE,-50,0.001,19.7,ORTC$PSMX@XPNN6,End User,1/2 inch,open
WM-MDE-LCA3041,Water Meter,0.001,0.005,Colombia,6.055182,-75.408616,199.99,FALSE,-50,0.001,19.7,QXOV$CTZK@KWOX4,End User,1/2 inch,open
WM-MDE-LCA3042,Water Meter,0.001,0.005,Colombia,6.055371,-75.408427,200.99,FALSE,-50,0.001,19.7,ECPW$HDRF@HQWO2,End User,1/2 inch,open
WM-MDE-LCA3043,Water Meter,0.001,0.005,Colombia,6.05556,-75.408238,201.99,FALSE,-50,0.001,19.7,ZQMA$YPOQ@XVNP5,End User,1/2 inch,open
